---------------------- 1
#########################0.0
g:2 best (0):0,71 [0.0, 0.71, 0.0] [feas:8,not:42]
g:3 best (2):0,71 [0.0, 0.71, 0.0] [feas:11,not:39]
g:4 best (2):0,71 [0.0, 0.71, 0.0] [feas:14,not:36]
g:5 best (2):0,71 [0.0, 0.71, 0.0] [feas:19,not:31]
g:6 best (2):0,71 [0.0, 0.71, 0.0] [feas:24,not:26]
g:7 best (2):0,71 [0.0, 0.71, 0.0] [feas:31,not:19]
g:8 best (2):0,71 [0.0, 0.71, 0.0] [feas:41,not:9]
g:9 best (8):0,72 [0.0, 0.72, 0.0] [feas:50,not:0]
g:10 best (8):0,72 [0.0, 0.72, 0.0] [feas:50,not:0]
g:11 best (10):0,73 [0.0, 0.73, 0.0] [feas:50,not:0]
g:12 best (10):0,73 [0.0, 0.73, 0.0] [feas:50,not:0]
g:13 best (10):0,73 [0.0, 0.73, 0.0] [feas:50,not:0]
g:14 best (10):0,73 [0.0, 0.73, 0.0] [feas:50,not:0]
g:15 best (10):0,73 [0.0, 0.73, 0.0] [feas:50,not:0]
g:16 best (10):0,73 [0.0, 0.73, 0.0] [feas:50,not:0]
g:17 best (10):0,73 [0.0, 0.73, 0.0] [feas:50,not:0]
g:18 best (17):0,74 [0.0, 0.74, 0.0] [feas:50,not:0]
g:19 best (17):0,74 [0.0, 0.74, 0.0] [feas:50,not:0]
g:20 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:21 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:22 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:23 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:24 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:25 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:26 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:27 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:28 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:29 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:30 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:31 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:32 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:33 best (19):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:34 best (33):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:35 best (33):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:36 best (33):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:37 best (33):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:38 best (33):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:39 best (33):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:40 best (33):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:41 best (33):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:42 best (33):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:43 best (33):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:44 best (33):0,75 [0.0, 0.75, 0.0] [feas:50,not:0]
g:45 best (44):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:46 best (44):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:47 best (44):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:48 best (44):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:49 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:50 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:51 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:52 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:53 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:54 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:55 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:56 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:57 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:58 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:59 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:60 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:61 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:62 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:63 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:64 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:65 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:66 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:67 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:68 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:69 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:70 best (48):0,77 [0.0, 0.77, 0.0] [feas:50,not:0]
g:71 best (70):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:72 best (70):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:73 best (70):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:74 best (70):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:75 best (70):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:76 best (70):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
g:77 best (70):0,78 [0.0, 0.78, 0.0] [feas:50,not:0]
